hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,14.4,3.4,16,1.9,12.67,1.7,13.4,0.5,0.2,16.7,4801263,2016
1,15,3.3,16.1,1.7,12.706,1.7,13.1,0.5,0.1,16.2,3510554,2016
2,15.5,3.3,14.9,1.6,12.373,1.7,12.7,0.5,0.1,15.7,2576474,2016
3,16.4,3.6,15.2,1.6,11.991,1.7,13.2,0.5,0.2,16.3,1888184,2016
4,18.6,4.4,15.4,1.8,10.875,1.7,15.3,0.5,0.5,18.8,1451388,2016
5,20.1,4.8,14.1,2.2,11.348,1.6,16.1,0.4,0.8,20.4,1393381,2016
6,16.5,3.6,13.5,1.8,12.269,1.5,13.1,0,0.5,16.3,3001894,2016
7,12.7,2.9,14.3,1.8,13.092,1.6,12.2,0,0.3,15.1,4925227,2016
8,10.5,2.7,15.9,1.8,13.392,1.6,12.4,0,0.3,15.2,5967221,2016
9,10.3,2.6,16.1,1.8,13.003,1.6,12.4,0,0.3,15.3,6044046,2016
10,10.3,2.7,16.4,1.7,12.195,1.6,12.7,0,0.3,15.5,5926031,2016
11,10.1,2.7,17,1.7,11.919,1.7,12.8,0,0.3,15.6,6167061,2016
12,9.9,2.7,17.2,1.7,11.881,1.7,12.9,0,0.3,15.8,6500904,2016
13,10.1,2.9,17.6,1.7,11.789,1.7,13.4,0,0.4,16.3,6511081,2016
14,9.8,3,18.7,1.8,11.738,1.7,13.8,0,0.4,16.9,6779738,2016
15,9.7,3,19,1.8,11.673,1.7,13.8,0,0.4,16.8,6532699,2016
16,10,3.1,19.1,1.9,11.628,1.7,13.9,0.7,0.4,17.7,5870711,2016
17,9.9,2.9,18.5,1.8,11.979,1.7,13.4,0.8,0.3,17.1,6864860,2016
18,10,2.7,17,1.8,12.393,1.7,12.5,0.8,0.3,16.1,8001224,2016
19,10.8,2.7,15.7,1.8,12.651,1.7,12.1,0.8,0.2,15.7,8048446,2016
20,12,3,15.4,1.8,13.107,1.7,12.4,0.5,0.3,15.8,7555499,2016
21,12.6,3.1,15.6,1.9,13.124,1.7,12.8,0.5,0.2,16.2,7475435,2016
22,12.9,3.2,16.9,1.9,13.114,1.7,13.2,0.5,0.2,16.7,7172956,2016
23,13.7,3.4,16.2,1.9,12.949,1.7,13.6,0.5,0.2,17.1,6198766,2016
