hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,14.7,3.4,14.7,1.8,12.172,1.7,13.2,0.5,0.2,16.5,5587235,2015
1,15.3,3.4,15,1.7,12.045,1.7,12.9,0.5,0.1,16,4126459,2015
2,15.8,3.4,13.9,1.6,11.935,1.7,12.7,0.5,0.1,15.7,3030364,2015
3,16.6,3.6,13.9,1.6,11.355,1.7,13.3,0.5,0.2,16.3,2207835,2015
4,18.8,4.3,14.3,1.7,10.146,1.7,15.2,0.5,0.4,18.6,1648389,2015
5,20.5,4.8,13.7,2.1,10.859,1.6,16.2,0.4,0.8,20.4,1532727,2015
6,16.8,3.7,12.8,1.8,11.636,1.6,13.3,0,0.5,16.4,3263655,2015
7,13,3,13.7,1.7,12.351,1.6,12.2,0,0.3,15,5410009,2015
8,10.8,2.7,15,1.7,12.734,1.6,12.3,0,0.3,15.1,6566727,2015
9,10.5,2.6,15.2,1.7,12.322,1.6,12.3,0,0.3,15,6734087,2015
10,10.6,2.7,15.4,1.6,11.59,1.7,12.5,0,0.3,15.3,6641324,2015
11,10.3,2.7,15.9,1.6,11.323,1.7,12.7,0,0.3,15.4,6901937,2015
12,10.2,2.7,16,1.6,11.249,1.7,12.7,0,0.3,15.5,7213591,2015
13,10.3,2.9,16.5,1.6,11.146,1.7,13.2,0,0.4,16,7184575,2015
14,10.1,3,17.4,1.7,11.059,1.7,13.6,0,0.4,16.5,7409760,2015
15,10,3,17.6,1.7,10.969,1.7,13.8,0,0.4,16.7,7079931,2015
16,10.3,3.1,17.8,1.7,10.93,1.7,13.7,0.6,0.4,17.3,6179820,2015
17,10.2,2.9,17.2,1.7,11.242,1.7,13.2,0.7,0.3,16.7,7327544,2015
18,10.3,2.7,15.8,1.7,11.688,1.7,12.4,0.7,0.3,15.8,8752363,2015
19,11.1,2.7,14.7,2.1,13.978,1.7,12,0.7,0.2,15.8,9022002,2015
20,12.2,2.9,14.3,1.7,12.451,1.7,12.2,0.5,0.2,15.5,8519738,2015
21,13,3.1,14.2,1.8,12.545,1.7,12.6,0.5,0.2,15.9,8473070,2015
22,13.3,3.2,14.7,1.8,12.529,1.7,13,0.5,0.2,16.3,8159782,2015
23,14,3.4,14.8,1.8,12.314,1.7,13.4,0.5,0.2,16.7,7140065,2015
