hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,15.2,3.2,11.9,1,8.636,1.7,10.6,0.5,0.1,12.7,7047523,2011
1,15.9,3.2,11.4,1,8.66,1.7,10.4,0.5,0.1,12.5,5208682,2011
2,16.4,3.2,11.2,1,8.658,1.7,10.4,0.5,0.1,12.4,3892188,2011
3,17.1,3.4,11.2,0.9,8.411,1.7,10.7,0.5,0.1,12.8,2861653,2011
4,19.1,4,11.6,1,7.476,1.7,12.1,0.5,0.3,14.3,2058517,2011
5,21.3,4.6,11.4,1.3,7.615,1.5,13.3,0.4,0.6,16.1,1716760,2011
6,18,3.5,10.2,1,8.242,1.5,10.7,0,0.4,12.6,3629703,2011
7,14.3,2.9,11.1,1,8.712,1.5,9.8,0,0.2,11.5,6407562,2011
8,11.7,2.6,12.6,1,9.201,1.5,9.9,0,0.2,11.5,8051424,2011
9,11.3,2.5,12.8,1,9.047,1.5,9.8,0,0.2,11.5,8323766,2011
10,11.5,2.5,12.5,0.9,8.276,1.6,9.8,0,0.2,11.4,8039801,2011
11,11.3,2.6,12.7,0.9,7.958,1.6,9.9,0,0.2,11.5,8275695,2011
12,11.1,2.5,12.9,0.9,7.901,1.6,9.9,0,0.2,11.5,8735761,2011
13,11.2,2.7,13.1,0.9,7.779,1.6,10.2,0,0.2,11.8,8669483,2011
14,11.1,2.8,13.7,0.9,7.727,1.6,10.5,0,0.3,12.2,8932250,2011
15,11.1,2.8,14,0.9,7.598,1.7,10.6,0,0.3,12.3,8448456,2011
16,11.7,2.9,13.7,0.9,7.384,1.7,10.6,0.6,0.3,13,7251378,2011
17,11.4,2.7,13.7,0.9,7.634,1.7,10.3,0.7,0.2,12.7,8722809,2011
18,11.2,2.6,13.1,0.9,8.022,1.7,9.9,0.7,0.2,12.2,10559359,2011
19,11.9,2.5,12.2,0.9,8.28,1.7,9.6,0.7,0.1,11.9,11030352,2011
20,13,2.7,11.7,1,8.831,1.7,9.7,0.5,0.1,11.9,10374184,2011
21,13.8,2.9,11.6,1,8.882,1.7,9.9,0.5,0.1,12.1,10123588,2011
22,14.1,3,11.9,1,8.796,1.7,10.2,0.5,0.1,12.4,9801035,2011
23,14.6,3.1,12,1,8.718,1.7,10.4,0.5,0.1,12.6,8735270,2011
