hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,15.3,3.1,11.9,0.6,5.52,1.8,10.3,0.3,0.1,11.4,6721556,2009
1,15.9,3.1,11.3,0.6,5.632,1.8,10.1,0.3,0.1,11.2,4989829,2009
2,16.6,3.2,11.1,0.6,5.753,1.8,10.3,0.3,0,11.3,3751063,2009
3,17.4,3.4,11.2,0.6,5.676,1.8,10.7,0.3,0.1,11.7,2728151,2009
4,19.1,4,11.7,0.6,4.949,1.7,11.8,0.3,0.2,13.1,1997479,2009
5,21.1,4.4,11.4,0.8,4.788,1.6,12.8,0.3,0.4,14.3,1578304,2009
6,18.2,3.4,10.1,0.6,4.694,1.5,10.5,0,0.3,11.5,3305359,2009
7,14.5,2.8,10.8,0.6,5.027,1.5,9.5,0,0.2,10.3,6008744,2009
8,12,2.5,12.2,0.6,5.469,1.6,9.5,0,0.1,10.3,7829248,2009
9,11.6,2.5,12.3,0.6,5.48,1.6,9.4,0,0.2,10.3,7967136,2009
10,11.8,2.5,12,0.5,4.905,1.6,9.4,0,0.2,10.2,7495235,2009
11,11.5,2.5,12.3,0.5,4.711,1.6,9.6,0,0.2,10.4,7705241,2009
12,11.3,2.5,12.5,0.5,4.66,1.7,9.6,0,0.2,10.4,8294767,2009
13,11.4,2.6,12.7,0.5,4.618,1.7,9.9,0,0.2,10.7,8286352,2009
14,11.2,2.7,13.2,0.5,4.592,1.7,10.1,0,0.2,10.9,8600253,2009
15,11.3,2.7,13.4,0.5,4.522,1.7,10.2,0,0.2,11,8445301,2009
16,11.8,2.7,13,0.5,4.447,1.7,10.1,0.4,0.2,11.4,7515143,2009
17,11.5,2.6,13.1,0.5,4.626,1.7,9.9,0.5,0.2,11.2,8890014,2009
18,11.4,2.4,12.5,0.5,4.864,1.7,9.5,0.5,0.1,10.7,10533713,2009
19,12.1,2.5,11.7,0.5,4.991,1.7,9.3,0.5,0.1,10.5,10893240,2009
20,13.3,2.7,11.4,0.6,5.444,1.7,9.5,0.3,0.1,10.6,9996692,2009
21,14,2.8,11.4,0.6,5.53,1.8,9.7,0.3,0.1,10.8,9610601,2009
22,14.3,2.9,11.6,0.6,5.486,1.8,9.9,0.3,0.1,11.1,9360346,2009
23,14.7,3,11.8,0.6,5.492,1.8,10.2,0.3,0.1,11.3,8392288,2009
