hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,15.2,3.3,12.4,1.6,10.982,1.7,13,0.5,0.2,15.7,6534308,2014
1,15.9,3.3,11.8,1.5,10.889,1.7,12.6,0.5,0.1,15.2,4811126,2014
2,16.4,3.3,11.4,1.4,10.715,1.7,12.5,0.5,0.1,15.1,3551817,2014
3,17.1,3.5,11.5,1.4,10.25,1.7,13.1,0.5,0.1,15.6,2591718,2014
4,19.4,4.3,12,1.6,9.176,1.7,15,0.5,0.4,17.9,1932107,2014
5,21.2,4.8,11.8,2,9.868,1.6,16.3,0.4,0.7,19.9,1719490,2014
6,17.5,3.6,11,1.6,10.619,1.6,13.2,0,0.5,15.8,3596287,2014
7,13.6,3,12.2,1.5,11.257,1.6,12.1,0,0.3,14.4,6050401,2014
8,11.2,2.7,13.6,1.5,11.666,1.6,12.1,0,0.3,14.4,7364739,2014
9,10.8,2.6,13.8,1.5,11.302,1.6,12.1,0,0.3,14.4,7619958,2014
10,10.9,2.7,13.8,1.4,10.529,1.7,12.2,0,0.3,14.5,7478622,2014
11,10.7,2.7,14.1,1.4,10.256,1.7,12.4,0,0.3,14.6,7745570,2014
12,10.6,2.7,14.3,1.4,10.174,1.7,12.5,0,0.3,14.7,8078783,2014
13,10.7,2.8,14.5,1.4,10.072,1.7,12.9,0,0.3,15.2,8005645,2014
14,10.6,3,15.2,1.5,9.992,1.7,13.3,0,0.4,15.7,8268758,2014
15,10.6,3,15.5,1.5,9.888,1.7,13.4,0,0.4,15.8,7827471,2014
16,11.1,3.1,15.2,1.5,9.786,1.7,13.3,0.6,0.4,16.4,6628333,2014
17,10.9,2.9,14.9,1.5,10.115,1.7,12.8,0.7,0.3,15.8,8068219,2014
18,10.8,2.7,13.9,1.5,10.562,1.7,12.1,0.7,0.2,15,9869516,2014
19,11.6,2.6,12.8,1.5,10.869,1.7,11.7,0.7,0.2,14.5,10317700,2014
20,12.8,2.8,12.3,1.5,11.288,1.7,11.9,0.5,0.2,14.6,9781239,2014
21,13.5,3,12.3,1.6,11.326,1.7,12.3,0.5,0.2,15,9644674,2014
22,13.9,3.1,12.6,1.6,11.304,1.7,12.6,0.5,0.2,15.4,9338414,2014
23,14.5,3.3,12.7,1.6,11.131,1.7,12.9,0.5,0.2,15.8,8289466,2014
