hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,15.7,3.3,11.8,1.2,9.228,1.8,11.3,0.5,0.1,13.5,7150451,2012
1,16.3,3.2,11.3,1.1,9.22,1.7,11.1,0.5,0.1,13.3,5306764,2012
2,16.9,3.3,11,1.1,9.169,1.7,11.1,0.5,0.1,13.2,3968275,2012
3,17.6,3.5,11.2,1.1,8.863,1.7,11.5,0.5,0.1,13.7,2903142,2012
4,19.6,4.1,11.6,1.2,7.884,1.7,13,0.5,0.3,15.5,2070035,2012
5,21.7,4.7,11.4,1.5,8.26,1.6,14.3,0.4,0.6,17.3,1736852,2012
6,18.3,3.5,10.2,1.2,8.903,1.5,11.4,0,0.4,13.5,3673170,2012
7,14.5,2.9,11.2,1.1,9.455,1.6,10.6,0,0.2,12.4,6445930,2012
8,11.9,2.7,12.7,1.2,9.968,1.6,10.5,0,0.2,12.4,8047348,2012
9,11.5,2.6,12.8,1.1,9.704,1.6,10.5,0,0.2,12.3,8326314,2012
10,11.8,2.6,12.6,1,8.869,1.6,10.5,0,0.2,12.3,8077975,2012
11,11.5,2.6,12.8,1,8.558,1.7,10.6,0,0.2,12.4,8314299,2012
12,11.3,2.6,12.9,1,8.502,1.7,10.6,0,0.2,12.4,8774675,2012
13,11.5,2.8,13.3,1,8.386,1.7,11,0,0.3,12.8,8707182,2012
14,11.3,2.9,13.8,1.1,8.31,1.7,11.3,0,0.3,13.2,9001715,2012
15,11.4,2.9,14,1.1,8.18,1.7,11.4,0,0.3,13.3,8487516,2012
16,12,2.9,13.6,1.1,8.088,1.7,11.3,0.6,0.3,13.8,7286211,2012
17,11.7,2.8,13.6,1.1,8.402,1.7,11,0.7,0.2,13.5,8774912,2012
18,11.5,2.6,13,1.1,8.824,1.7,10.5,0.7,0.2,13,10672135,2012
19,12.3,2.6,12,1.1,9.091,1.7,10.2,0.7,0.1,12.6,11136912,2012
20,13.5,2.8,11.6,1.1,9.559,1.7,10.4,0.5,0.2,12.7,10504338,2012
21,14.2,2.9,11.5,1.2,9.568,1.7,10.6,0.5,0.2,12.9,10285326,2012
22,14.6,3,11.7,1.2,9.502,1.7,10.9,0.5,0.2,13.2,9985304,2012
23,15.1,3.2,11.9,1.2,9.375,1.8,11.1,0.5,0.1,13.4,8907543,2012
